initials,date,course_id,time(m),summary
EES,1/9/22,DS160-01,45,Read the first chapter of Shah.
EES,1/10/22,COMM310-01,25,Read syllabus and investigated illustrator.
EES,1/10/22,COMM310-01,60,Wacthed video and read the first chapter in preparation for class.
EES,1/11/22,COMM310-01,20,Finished lab from class.
EES,1/11/22,DS160-01,25,Looked over chapter two of Shah.
EES,1/18/22,DS160-01,30,Finish going over chapter two of Shah.
EES,1/19/22,COMM310-01,25,Read textbook section for class.
EES,1/20/22,DS160-01,45,Read chapter three of Shah.
EES,1/23/22,DS160-01,25,Looked over chapter 5 of Shah.
EES,1/23/22,ECON351-01,30,Investigated stocks for investmant project.
